experiment,config_id,config_label,backbone,seed,task_type,outcome,outcome_label,metric,point,n_test,test_cohort_rows,quantizer,anchoring,fusion,representation,temporal,effective_logreg_C,effective_ridge_alpha,source_artifact,source_sha256
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,hyperkalemia,Hyperkalemia,roc_auc,0.7520344464443944,58971,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,hyperkalemia,Hyperkalemia,average_precision,0.014929727104869268,58971,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,hyperkalemia,Hyperkalemia,brier,0.0026995562969714805,58971,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,hyperkalemia,Hyperkalemia,ece_15,0.00044966559081340495,58971,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,severe_hypokalemia,Severe hypokalemia,roc_auc,0.6730962764173096,59656,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,severe_hypokalemia,Severe hypokalemia,average_precision,0.0011920471708994494,59656,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,severe_hypokalemia,Severe hypokalemia,brier,0.0006106628494266487,59656,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,severe_hypokalemia,Severe hypokalemia,ece_15,0.00021534379149378108,59656,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,severe_anemia,Severe anemia,roc_auc,0.8422778289385612,57619,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,severe_anemia,Severe anemia,average_precision,0.09859207579658487,57619,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
