measurement,measurement_code,panel,bin_id,pc1,pc2,pc1_var_explained,pc2_var_explained,model_dir,vocab_path
Shared centile vocabulary,shared_Q_tokens,shared_centiles,20,0.35772246,-0.17796472,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
Shared centile vocabulary,shared_Q_tokens,shared_centiles,21,0.3894397,-0.05915258,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
Shared centile vocabulary,shared_Q_tokens,shared_centiles,22,0.4045751,-0.0059530195,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
Shared centile vocabulary,shared_Q_tokens,shared_centiles,23,0.40828684,0.05923979,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
Shared centile vocabulary,shared_Q_tokens,shared_centiles,24,0.44317394,0.05931542,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
Shared centile vocabulary,shared_Q_tokens,shared_centiles,25,0.44222564,0.23568583,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
Shared centile vocabulary,shared_Q_tokens,shared_centiles,26,0.40954065,0.2496613,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
Shared centile vocabulary,shared_Q_tokens,shared_centiles,27,0.30483377,0.2748825,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
Shared centile vocabulary,shared_Q_tokens,shared_centiles,28,0.25705272,0.28682268,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
Shared centile vocabulary,shared_Q_tokens,shared_centiles,29,0.23890966,0.3319955,0.056822385638952255,0.05108935385942459,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/ml4h_2026/models/ml4h_llama_exp1_meds_centiles_none_fusedFalse_discrete_time_tokens-s42/checkpoint-372270,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/centiles_none_unfused_time_tokens_first_24h-tokenized/train/vocab.gzip
