experiment,backbone,condition,condition_title,task_type,metric,level_id,level_label,level_position,level_marker,level_fillstyle,is_baseline,outcome_family,outcome_color,point,lo,hi,n_outcomes,n_seeds,n_architectures,member_outcomes,outcome,outcome_label,outcome_linestyle,level_delta,is_best,is_worst
exp2,llama_qwen_mean,value_encoding,Numeric representation,regression,spearman_rho,xval_affine|time_tokens,xVal-affine,3.0,D,full,False,Electrolytes,#009988,0.35983369097710455,0.34318462933401983,0.37570884854496667,4,3,2,min_potassium|peak_potassium|min_sodium|max_sodium,Electrolytes,Electrolytes,solid,0.12505000836767394,False,False
exp2,llama_qwen_mean,temporal,Temporal representation,binary,roc_auc,avg(discrete+soft+xval+xval_affine)|time_tokens,Time tokens (baseline),0.0,s,full,True,Organ support,#CC3311,0.9304151658406578,0.8781957593103579,0.9580864356847647,4,3,2,imv_event|vasopressor_initiation|crrt_initiation|hemodialysis_initiation,Organ support,Organ support,solid,0.003978728519403285,False,True
exp2,llama_qwen_mean,temporal,Temporal representation,binary,roc_auc,avg(discrete+soft+xval+xval_affine)|time_tokens,Time tokens (baseline),0.0,s,full,True,Laboratory,#009988,0.7579636402883684,0.67625746238523,0.9357897761658205,6,3,2,hyperkalemia|severe_hypokalemia|profound_hyponatremia|severe_hypernatremia|hypoglycemia|severe_anemia,Laboratory,Laboratory,solid,0.007993517505112901,False,True
exp2,llama_qwen_mean,temporal,Temporal representation,binary,roc_auc,avg(discrete+soft+xval+xval_affine)|time_tokens,Time tokens (baseline),0.0,s,full,True,Vitals,#332288,0.6743439269604289,0.6316760979036641,0.7171211108489948,3,3,2,tachycardia_hr130|severe_hypertension|hypotension,Vitals,Vitals,solid,0.00728158846538185,False,True
exp2,llama_qwen_mean,temporal,Temporal representation,binary,roc_auc,avg(discrete+soft+xval+xval_affine)|time_tokens,Time tokens (baseline),0.0,s,full,True,Hospital outcomes,#0077BB,0.8640773091898544,0.7791341129603422,0.9401100251935387,4,3,2,same_admission_death|long_length_of_stay|icu_admission|prolonged_icu_stay,Hospital outcomes,Hospital outcomes,solid,0.004807531667528009,False,True
exp2,llama_qwen_mean,temporal,Temporal representation,regression,spearman_rho,avg(discrete+soft+xval+xval_affine)|time_tokens,Time tokens (baseline),0.0,s,full,True,Vitals,#332288,0.42429925556632053,0.34272621858545327,0.48534747040183457,6,3,2,min_heart_rate|max_heart_rate|min_sbp|max_sbp|min_dbp|max_dbp,Vitals,Vitals,solid,0.016001654566665247,False,True
exp2,llama_qwen_mean,temporal,Temporal representation,regression,spearman_rho,avg(discrete+soft+xval+xval_affine)|time_tokens,Time tokens (baseline),0.0,s,full,True,Biomarkers,#EE7733,0.4139232100881977,0.27690712868313727,0.5276972571357825,8,3,2,min_creatinine|peak_creatinine|min_troponin|peak_troponin|min_glucose|max_glucose|min_bnp|peak_bnp,Biomarkers,Biomarkers,solid,0.013235283323633495,False,True
exp2,llama_qwen_mean,temporal,Temporal representation,regression,spearman_rho,avg(discrete+soft+xval+xval_affine)|time_tokens,Time tokens (baseline),0.0,s,full,True,Hematology,#AA4499,0.6489002363914294,0.6467608657516786,0.6510396070311801,2,3,2,min_hemoglobin|max_hemoglobin,Hematology,Hematology,solid,0.02377098120014387,False,True
exp2,llama_qwen_mean,temporal,Temporal representation,regression,spearman_rho,avg(discrete+soft+xval+xval_affine)|time_tokens,Time tokens (baseline),0.0,s,full,True,Electrolytes,#009988,0.4094414404553228,0.3911965928107236,0.42629301551556853,4,3,2,min_potassium|peak_potassium|min_sodium|max_sodium,Electrolytes,Electrolytes,solid,0.02467063762435029,False,True
exp2,llama_qwen_mean,temporal,Temporal representation,binary,roc_auc,avg(discrete+soft+xval+xval_affine)|event_order,Event stream only,1.0,o,full,False,Organ support,#CC3311,0.934393894360061,0.8829691002974578,0.9610025606716399,4,3,2,imv_event|vasopressor_initiation|crrt_initiation|hemodialysis_initiation,Organ support,Organ support,solid,0.003978728519403285,True,False
exp2,llama_qwen_mean,temporal,Temporal representation,binary,roc_auc,avg(discrete+soft+xval+xval_affine)|event_order,Event stream only,1.0,o,full,False,Laboratory,#009988,0.765813041599961,0.6910264817610297,0.9341453065987515,6,3,2,hyperkalemia|severe_hypokalemia|profound_hyponatremia|severe_hypernatremia|hypoglycemia|severe_anemia,Laboratory,Laboratory,solid,0.007993517505112901,False,False
exp2,llama_qwen_mean,temporal,Temporal representation,binary,roc_auc,avg(discrete+soft+xval+xval_affine)|event_order,Event stream only,1.0,o,full,False,Vitals,#332288,0.6808069804944781,0.6368587129282111,0.7214901341693705,3,3,2,tachycardia_hr130|severe_hypertension|hypotension,Vitals,Vitals,solid,0.00728158846538185,False,False
exp2,llama_qwen_mean,temporal,Temporal representation,binary,roc_auc,avg(discrete+soft+xval+xval_affine)|event_order,Event stream only,1.0,o,full,False,Hospital outcomes,#0077BB,0.8688848408573824,0.7884381226087398,0.9414913867255246,4,3,2,same_admission_death|long_length_of_stay|icu_admission|prolonged_icu_stay,Hospital outcomes,Hospital outcomes,solid,0.004807531667528009,True,False
exp2,llama_qwen_mean,temporal,Temporal representation,regression,spearman_rho,avg(discrete+soft+xval+xval_affine)|event_order,Event stream only,1.0,o,full,False,Vitals,#332288,0.43516874400831423,0.35051197694974967,0.49671915852280435,6,3,2,min_heart_rate|max_heart_rate|min_sbp|max_sbp|min_dbp|max_dbp,Vitals,Vitals,solid,0.016001654566665247,False,False
exp2,llama_qwen_mean,temporal,Temporal representation,regression,spearman_rho,avg(discrete+soft+xval+xval_affine)|event_order,Event stream only,1.0,o,full,False,Biomarkers,#EE7733,0.4271584934118312,0.28101330371994837,0.5413669572907198,8,3,2,min_creatinine|peak_creatinine|min_troponin|peak_troponin|min_glucose|max_glucose|min_bnp|peak_bnp,Biomarkers,Biomarkers,solid,0.013235283323633495,True,False
